,SHAP
MSTRG.36020.14,50
ENST00000382545.5,45
MSTRG.22080.39,37
MSTRG.14526.3,33
MSTRG.33906.1,31
ENST00000464443.5,29
MSTRG.18533.59,29
ENST00000505783.5,28
ENST00000633531.1,28
MSTRG.14688.29,28
MSTRG.25515.2,27
ENST00000456948.5,26
ENST00000472755.2,26
ENST00000366329.7,25
MSTRG.9869.2,25
ENST00000300184.8,25
MSTRG.18173.5,24
MSTRG.3965.14,24
ENST00000246080.4,23
ENST00000643820.1,23
ENST00000607212.3,23
MSTRG.29599.5,23
ENST00000479701.5,23
ENST00000389995.4,23
ENST00000394166.8,22
ENST00000306645.10,21
MSTRG.13533.68,21
MSTRG.184.15,20
ENST00000676048.1,20
ENST00000698184.1,20
MSTRG.15201.2,19
ENST00000373657.2,19
MSTRG.34200.15,19
MSTRG.13335.2,19
MSTRG.8744.4,18
ENST00000389869.7,18
ENST00000374362.6,18
ENST00000478903.5,18
ENST00000545721.1,18
ENST00000534680.5,18
MSTRG.35169.3,18
ENST00000675817.1,18
ENST00000506430.2,18
ENST00000595661.5,17
MSTRG.23188.7,17
ENST00000443397.5,17
ENST00000372476.8,16
MSTRG.1063.12,16
MSTRG.19507.10,16
MSTRG.6927.1,16
