,SHAP
MSTRG.36782.15,49
ENST00000485584.1,47
ENST00000464196.5,44
ENST00000611750.1,40
ENST00000566193.1,40
ENST00000693214.1,40
ENST00000529180.1,38
MSTRG.5599.6,38
MSTRG.36782.10,36
MSTRG.5794.10,35
ENST00000361365.7,34
MSTRG.36713.16,34
ENST00000606320.6,32
ENST00000698289.1,32
ENST00000250784.13,31
MSTRG.36835.1,30
MSTRG.15509.6,29
MSTRG.1847.2,28
MSTRG.8571.5,27
ENST00000552050.5,26
ENST00000495478.1,25
MSTRG.16865.10,24
ENST00000662422.1,24
MSTRG.15009.13,23
MSTRG.36713.13,22
MSTRG.6690.10,22
ENST00000586015.1,22
ENST00000476438.1,22
ENST00000284856.4,21
MSTRG.20567.3,21
MSTRG.15720.1,21
MSTRG.22625.1,21
ENST00000337917.11,20
MSTRG.13477.11,20
MSTRG.4291.2,18
ENST00000506179.5,18
MSTRG.8132.10,17
MSTRG.32414.30,17
ENST00000456948.5,17
MSTRG.33971.55,17
ENST00000680776.1,17
MSTRG.14621.8,16
ENST00000689323.1,16
ENST00000486463.5,16
ENST00000543566.6,16
MSTRG.15147.18,16
ENST00000539542.6,16
ENST00000622804.2,16
ENST00000501056.2,16
ENST00000642021.1,15
