,SHAP
ENST00000382545.5,50
ENST00000413366.8,45
MSTRG.20714.15,39
ENST00000372476.8,39
ENST00000300184.8,37
ENST00000476438.1,36
MSTRG.31758.2,32
ENST00000581584.5,30
ENST00000246080.4,30
ENST00000543727.5,28
ENST00000472755.2,27
ENST00000372583.6,26
MSTRG.12050.13,24
MSTRG.21438.5,23
ENST00000389995.4,22
ENST00000341500.9,22
MSTRG.1857.1,21
MSTRG.16696.4,21
ENST00000375200.6,21
ENST00000651342.1,20
ENST00000520560.6,20
MSTRG.31035.16,20
ENST00000518375.1,19
MSTRG.2378.6,18
MSTRG.35224.7,18
MSTRG.7085.2,17
MSTRG.28887.11,17
ENST00000594682.6,17
MSTRG.21635.24,17
MSTRG.23851.1,17
MSTRG.31837.27,16
MSTRG.5063.4,16
MSTRG.17668.8,16
MSTRG.1069.26,16
MSTRG.6758.2,16
ENST00000462190.1,16
ENST00000642021.1,16
ENST00000530439.1,16
ENST00000622186.5,16
MSTRG.10687.63,15
MSTRG.7662.7,15
ENST00000337338.9,15
MSTRG.33150.3,15
MSTRG.11948.25,15
ENST00000225171.7,14
MSTRG.28865.25,14
MSTRG.25995.9,14
ENST00000680967.1,14
MSTRG.32512.1,14
MSTRG.31395.29,14
