,SHAP
ENST00000647913.2,48
MSTRG.36782.15,47
ENST00000566193.1,43
MSTRG.36838.1,42
ENST00000611750.1,42
ENST00000529180.1,42
ENST00000693214.1,42
MSTRG.5794.10,40
ENST00000485584.1,39
MSTRG.36833.1,36
ENST00000284856.4,35
ENST00000361365.7,35
MSTRG.35856.2,34
MSTRG.5599.6,34
MSTRG.6823.12,32
ENST00000283285.10,30
MSTRG.36020.28,30
ENST00000586015.1,30
ENST00000571976.1,29
ENST00000473940.5,29
MSTRG.36020.14,29
ENST00000390526.1,27
MSTRG.17366.9,26
MSTRG.1847.2,25
MSTRG.4874.1,25
ENST00000358395.11,24
ENST00000529768.5,24
MSTRG.2401.8,24
MSTRG.24071.9,24
MSTRG.15509.6,22
ENST00000497369.5,22
ENST00000493987.5,22
ENST00000459719.7,21
ENST00000493973.1,21
ENST00000307259.9,21
MSTRG.17108.17,21
ENST00000495319.1,21
ENST00000464196.5,20
ENST00000392806.4,20
ENST00000395951.7,20
ENST00000606320.6,19
MSTRG.36785.9,19
MSTRG.29787.1,18
ENST00000528667.7,18
ENST00000662422.1,18
ENST00000642021.1,18
MSTRG.36713.16,17
ENST00000620525.1,17
MSTRG.11911.14,17
MSTRG.35320.3,17
