,SHAP
MSTRG.1913.3,48
ENST00000581584.5,40
ENST00000360428.9,40
ENST00000300184.8,39
ENST00000372476.8,39
ENST00000368680.4,37
ENST00000413366.8,35
ENST00000246080.4,29
ENST00000372583.6,28
MSTRG.21313.3,28
MSTRG.21300.10,27
MSTRG.21298.1,27
ENST00000543727.5,26
MSTRG.21155.3,25
MSTRG.23851.1,24
MSTRG.21296.14,21
MSTRG.9085.27,20
ENST00000587012.1,20
MSTRG.21261.25,18
MSTRG.22965.7,18
MSTRG.21326.9,18
MSTRG.7085.2,18
ENST00000618759.4,18
MSTRG.21408.2,18
MSTRG.21382.83,17
ENST00000426395.7,17
ENST00000389995.4,17
ENST00000460903.2,17
MSTRG.21313.5,17
MSTRG.21326.25,17
MSTRG.21165.32,17
MSTRG.31035.16,16
MSTRG.21408.1,16
MSTRG.21171.11,16
MSTRG.20990.22,16
MSTRG.2138.3,16
MSTRG.20911.13,16
MSTRG.21230.8,16
MSTRG.21210.11,16
ENST00000651342.1,16
MSTRG.4218.7,16
MSTRG.20996.2,16
ENST00000375200.6,16
MSTRG.21338.4,16
MSTRG.21223.2,16
MSTRG.21346.3,16
MSTRG.20983.1,16
MSTRG.20714.15,16
MSTRG.21167.4,15
MSTRG.21416.1,15
