,SHAP
ENST00000602495.1,50
ENST00000361365.7,50
MSTRG.36020.14,50
ENST00000647913.2,50
MSTRG.36786.4,50
ENST00000485584.1,45
MSTRG.36020.13,42
ENST00000464196.5,40
ENST00000358395.11,38
ENST00000395951.7,38
MSTRG.36835.1,38
MSTRG.2401.8,37
ENST00000307259.9,35
ENST00000529180.1,35
ENST00000416274.7,34
MSTRG.5794.10,33
MSTRG.24071.9,29
ENST00000556018.5,29
ENST00000647441.1,29
MSTRG.6330.9,28
ENST00000620525.1,28
ENST00000529768.5,27
ENST00000555818.5,26
MSTRG.28898.5,26
ENST00000394323.3,25
MSTRG.14189.5,24
ENST00000308511.9,24
MSTRG.36809.22,24
MSTRG.29104.12,23
ENST00000564400.5,22
ENST00000538440.6,22
MSTRG.1806.49,22
MSTRG.15388.6,22
MSTRG.19853.4,22
ENST00000343537.12,21
ENST00000418234.6,21
ENST00000548171.1,21
MSTRG.15884.2,21
ENST00000353598.6,20
MSTRG.13180.4,20
MSTRG.36713.13,20
MSTRG.36790.14,19
MSTRG.16481.13,19
ENST00000397852.5,18
ENST00000697954.1,18
ENST00000319234.5,18
ENST00000264663.9,18
MSTRG.24128.16,17
MSTRG.29825.2,17
MSTRG.11270.12,17
