,SHAP
ENST00000647913.2,50
MSTRG.36020.14,50
ENST00000602495.1,50
MSTRG.36020.13,49
ENST00000674495.1,44
ENST00000307259.9,39
ENST00000395951.7,38
MSTRG.5140.8,37
ENST00000548171.1,34
MSTRG.11270.12,34
ENST00000343537.12,33
MSTRG.24071.9,32
MSTRG.4933.24,31
MSTRG.19853.4,31
ENST00000300184.8,31
MSTRG.8633.24,30
ENST00000432750.5,30
MSTRG.5133.18,30
ENST00000620525.1,30
ENST00000382899.9,29
ENST00000647441.1,28
MSTRG.14189.5,27
ENST00000529768.5,27
MSTRG.7480.16,26
ENST00000587012.1,26
ENST00000485947.1,24
MSTRG.2241.18,23
ENST00000569205.5,23
MSTRG.34985.3,23
ENST00000534139.5,22
ENST00000358395.11,22
ENST00000409015.5,21
MSTRG.36634.10,21
ENST00000651614.1,20
ENST00000468449.5,20
MSTRG.35846.26,20
MSTRG.13180.4,20
MSTRG.3678.14,19
ENST00000397826.8,19
MSTRG.1913.3,18
ENST00000587973.2,18
MSTRG.6330.9,18
ENST00000678234.1,18
MSTRG.16696.4,18
MSTRG.1559.106,17
MSTRG.5852.4,17
MSTRG.1921.17,17
MSTRG.20404.2,17
ENST00000538440.6,17
MSTRG.23482.51,16
