,SHAP
ENST00000361365.7,50
MSTRG.36786.4,49
MSTRG.36809.22,45
MSTRG.36790.14,44
ENST00000485584.1,42
MSTRG.36713.13,41
MSTRG.36835.1,40
ENST00000529180.1,37
ENST00000416274.7,36
MSTRG.5794.10,35
MSTRG.15817.15,32
MSTRG.28898.5,31
MSTRG.5833.3,30
ENST00000555818.5,29
MSTRG.4871.10,29
ENST00000360428.9,27
ENST00000496760.5,26
ENST00000390331.3,26
MSTRG.1806.49,26
ENST00000564400.5,26
ENST00000379550.5,25
MSTRG.11059.17,22
ENST00000465421.5,22
MSTRG.23006.1,21
ENST00000440400.3,21
MSTRG.1402.3,20
MSTRG.28976.5,19
ENST00000489672.5,19
ENST00000588869.1,18
ENST00000440934.2,18
ENST00000676544.1,18
MSTRG.12760.3,18
MSTRG.34200.15,18
MSTRG.34128.6,18
ENST00000548180.5,18
ENST00000291839.10,18
MSTRG.8797.23,17
ENST00000556018.5,17
MSTRG.251.5,16
ENST00000373146.6,16
MSTRG.18657.3,16
MSTRG.13212.2,16
MSTRG.8681.5,16
MSTRG.25424.1,16
ENST00000650811.1,16
MSTRG.21155.3,15
MSTRG.27857.1,15
MSTRG.15884.2,15
ENST00000650026.1,15
ENST00000319234.5,14
