,SHAP
ENST00000382545.5,50
MSTRG.20210.2,50
ENST00000418346.1,50
MSTRG.21565.12,50
MSTRG.13450.7,48
ENST00000372476.8,45
MSTRG.1168.1,44
MSTRG.12050.13,44
ENST00000413366.8,43
ENST00000357450.9,42
ENST00000246080.4,38
ENST00000300184.8,35
MSTRG.16726.28,35
MSTRG.21565.11,34
MSTRG.17797.1,33
ENST00000581584.5,32
MSTRG.1857.1,30
ENST00000476438.1,29
ENST00000548200.5,28
MSTRG.3806.9,27
MSTRG.21438.5,27
ENST00000494573.6,27
ENST00000308831.7,27
MSTRG.23851.1,27
MSTRG.34381.1,26
MSTRG.14482.3,26
ENST00000375200.6,25
ENST00000303115.8,25
MSTRG.26990.1,25
ENST00000464587.2,25
ENST00000337338.9,25
MSTRG.23169.2,25
MSTRG.3823.12,25
ENST00000589005.5,25
ENST00000565196.5,24
MSTRG.427.3,24
ENST00000651342.1,24
MSTRG.32512.1,24
ENST00000582019.5,23
MSTRG.20714.15,23
ENST00000466335.1,22
MSTRG.6368.4,22
MSTRG.28032.1,21
ENST00000372583.6,21
MSTRG.3529.27,21
MSTRG.33150.3,20
MSTRG.5179.5,20
MSTRG.1141.6,20
ENST00000507765.1,20
MSTRG.11500.1,19
ENST00000280187.11,19
ENST00000624344.1,19
MSTRG.14706.28,19
MSTRG.20911.32,19
ENST00000684774.1,19
MSTRG.29554.27,19
MSTRG.27773.6,18
ENST00000548305.5,18
ENST00000412260.5,18
