,SHAP
MSTRG.1913.3,50
ENST00000372476.8,50
MSTRG.1168.1,49
MSTRG.21565.12,49
MSTRG.13450.7,47
MSTRG.21565.11,46
MSTRG.17871.5,45
ENST00000300184.8,43
ENST00000413366.8,43
ENST00000246080.4,42
MSTRG.3806.9,41
ENST00000303115.8,40
ENST00000581584.5,37
ENST00000476438.1,35
ENST00000367718.5,34
ENST00000589005.5,34
ENST00000368680.4,34
ENST00000543072.2,33
MSTRG.17882.17,33
ENST00000360428.9,33
ENST00000548200.5,31
MSTRG.3529.27,31
MSTRG.23851.1,31
ENST00000494573.6,29
ENST00000337338.9,29
MSTRG.17052.1,29
MSTRG.1692.7,28
ENST00000372583.6,27
MSTRG.5179.5,27
ENST00000477689.2,27
MSTRG.27773.6,26
MSTRG.32784.4,26
MSTRG.14482.3,26
ENST00000507765.1,25
ENST00000472755.2,25
MSTRG.28032.1,25
MSTRG.1727.13,25
MSTRG.31758.3,25
ENST00000565196.5,23
MSTRG.2400.4,23
MSTRG.1873.42,22
MSTRG.27965.7,22
MSTRG.26895.13,22
ENST00000441002.1,21
MSTRG.8485.2,21
ENST00000390560.2,21
ENST00000554383.5,20
ENST00000587012.1,20
ENST00000358747.10,20
MSTRG.20714.15,20
MSTRG.9085.27,20
ENST00000390331.3,20
ENST00000645860.1,20
ENST00000375200.6,19
MSTRG.26990.1,19
ENST00000521155.5,19
MSTRG.22004.4,19
ENST00000392249.6,18
MSTRG.575.12,18
MSTRG.21831.34,18
MSTRG.2758.7,18
MSTRG.21300.10,18
MSTRG.4428.2,17
ENST00000464587.2,17
ENST00000602741.1,17
ENST00000624344.1,17
ENST00000651342.1,16
MSTRG.26509.13,16
ENST00000672613.1,16
ENST00000371225.4,15
MSTRG.16471.18,15
MSTRG.18607.3,15
MSTRG.13900.12,15
MSTRG.9702.3,15
ENST00000372987.8,15
MSTRG.6310.11,15
MSTRG.813.69,15
ENST00000392008.6,15
MSTRG.31035.16,15
ENST00000331581.11,15
ENST00000553708.5,15
ENST00000426395.7,15
