,SHAP
ENST00000382545.5,50
MSTRG.21565.12,50
ENST00000418346.1,50
MSTRG.20210.2,50
ENST00000372476.8,48
MSTRG.13450.7,48
MSTRG.12050.13,45
MSTRG.1168.1,44
MSTRG.5695.28,44
ENST00000413366.8,41
ENST00000246080.4,40
ENST00000357450.9,39
ENST00000476438.1,38
MSTRG.21565.11,36
MSTRG.16726.28,36
ENST00000300184.8,35
MSTRG.14482.3,35
ENST00000494573.6,32
ENST00000337338.9,31
MSTRG.32512.1,31
MSTRG.1857.1,31
MSTRG.3806.9,31
ENST00000589005.5,30
MSTRG.17797.1,29
MSTRG.14356.1,29
MSTRG.26990.1,28
MSTRG.23851.1,28
ENST00000308831.7,27
ENST00000581584.5,26
ENST00000303115.8,26
MSTRG.34381.1,26
MSTRG.427.3,26
ENST00000548200.5,25
MSTRG.21438.5,25
ENST00000582019.5,24
MSTRG.1873.42,24
ENST00000672613.1,24
