Feature,SHAP
ENST00000382545.5,50
ENST00000540597.5,46
MSTRG.1913.3,44
ENST00000409140.8,40
ENST00000372476.8,39
ENST00000368680.4,38
ENST00000413366.8,36
ENST00000468138.5,35
ENST00000302177.3,34
ENST00000300184.8,30
MSTRG.34956.17,29
ENST00000521488.1,27
ENST00000543727.5,26
ENST00000581584.5,25
ENST00000477689.2,25
ENST00000360428.9,25
MSTRG.22933.7,23
MSTRG.32063.17,21
MSTRG.21797.4,20
MSTRG.21438.5,20
ENST00000472755.2,20
MSTRG.5695.28,20
ENST00000476438.1,19
MSTRG.20714.15,19
ENST00000389995.4,18
MSTRG.31758.2,18
MSTRG.1857.1,17
ENST00000372583.6,17
ENST00000477026.5,17
ENST00000620613.1,17
MSTRG.21313.3,16
ENST00000466335.1,16
ENST00000587012.1,16
ENST00000679979.1,16
MSTRG.12760.3,15
MSTRG.12050.13,15
MSTRG.11902.13,15
MSTRG.33150.3,14
ENST00000385101.1,14
ENST00000246080.4,14
MSTRG.16696.4,14
MSTRG.2336.31,14
MSTRG.23851.1,14
MSTRG.9085.27,14
MSTRG.5804.15,13
MSTRG.7085.2,13
ENST00000341500.9,13
MSTRG.28865.25,13
MSTRG.11948.25,13
ENST00000360760.9,13
