,SHAP
MSTRG.21565.12,50
ENST00000418346.1,50
ENST00000382545.5,50
MSTRG.20210.2,49
MSTRG.13450.7,48
ENST00000372476.8,47
MSTRG.1168.1,46
MSTRG.5695.28,43
MSTRG.12050.13,42
ENST00000413366.8,40
ENST00000357450.9,40
ENST00000246080.4,38
MSTRG.16726.28,36
ENST00000300184.8,36
MSTRG.21565.11,36
ENST00000476438.1,33
MSTRG.3806.9,31
ENST00000308831.7,31
MSTRG.23851.1,31
ENST00000337338.9,30
ENST00000494573.6,29
MSTRG.14482.3,29
ENST00000548200.5,28
MSTRG.17797.1,28
MSTRG.21438.5,27
MSTRG.1857.1,27
ENST00000581584.5,27
ENST00000589005.5,27
MSTRG.20714.15,26
MSTRG.23169.2,26
ENST00000565196.5,26
MSTRG.27773.6,26
ENST00000582019.5,26
MSTRG.26990.1,23
ENST00000303115.8,23
ENST00000472755.2,23
MSTRG.427.3,22
ENST00000624344.1,22
ENST00000530439.1,22
ENST00000684774.1,22
MSTRG.6368.4,22
ENST00000375200.6,21
MSTRG.17052.1,21
MSTRG.3823.12,21
ENST00000543841.5,20
MSTRG.26895.13,20
MSTRG.1873.42,20
ENST00000280187.11,20
ENST00000507765.1,20
MSTRG.28032.1,20
ENST00000372583.6,19
MSTRG.5819.3,19
ENST00000460903.2,18
MSTRG.3529.27,18
ENST00000645860.1,18
ENST00000672613.1,18
MSTRG.22004.4,18
MSTRG.4655.1,17
MSTRG.1692.7,17
MSTRG.11500.1,17
ENST00000491215.1,16
MSTRG.31758.3,16
MSTRG.11536.33,16
ENST00000298630.8,16
ENST00000392249.6,16
ENST00000670600.1,16
MSTRG.20911.32,16
ENST00000372987.8,15
MSTRG.2400.4,15
MSTRG.29554.27,15
ENST00000367718.5,15
ENST00000420217.1,15
MSTRG.12951.1,15
MSTRG.2288.7,15
MSTRG.33906.1,15
ENST00000493260.5,15
MSTRG.1141.6,15
MSTRG.28865.25,14
ENST00000651342.1,14
MSTRG.9085.27,14
