Feature,SHAP
ENST00000647913.2,46
MSTRG.36720.1,45
MSTRG.36782.15,45
ENST00000602495.1,44
ENST00000611750.1,44
MSTRG.36838.1,43
MSTRG.35460.54,39
ENST00000485584.1,38
ENST00000693214.1,38
MSTRG.35720.1,36
ENST00000284856.4,36
MSTRG.6684.24,36
MSTRG.36833.1,36
MSTRG.5802.1,35
MSTRG.36020.28,34
ENST00000390569.1,33
ENST00000566193.1,31
ENST00000283285.10,30
ENST00000571976.1,30
MSTRG.6823.12,29
ENST00000361365.7,29
ENST00000586015.1,28
ENST00000250784.13,28
MSTRG.35856.2,27
ENST00000616545.4,26
ENST00000529180.1,25
MSTRG.36020.13,25
MSTRG.22731.5,25
ENST00000390311.3,23
MSTRG.22934.1,23
MSTRG.17108.17,23
ENST00000473940.5,23
ENST00000440554.1,23
MSTRG.4874.1,23
ENST00000358395.11,22
ENST00000529768.5,22
MSTRG.24071.9,22
MSTRG.1847.2,22
MSTRG.5794.10,21
ENST00000464196.5,21
MSTRG.36713.16,21
ENST00000662739.1,20
MSTRG.25781.1,20
MSTRG.14189.5,20
ENST00000395951.7,19
MSTRG.36020.14,19
ENST00000390526.1,18
ENST00000548171.1,17
ENST00000620525.1,17
ENST00000392806.4,17
