Feature,SHAP
ENST00000647913.2,50
ENST00000602495.1,49
MSTRG.36020.13,48
MSTRG.36020.14,48
MSTRG.36020.28,47
MSTRG.35460.24,39
ENST00000674495.1,38
ENST00000307259.9,37
ENST00000395951.7,35
MSTRG.23413.19,32
MSTRG.7480.16,32
ENST00000493987.5,31
MSTRG.4214.3,30
ENST00000300184.8,28
ENST00000587012.1,28
MSTRG.11270.12,27
MSTRG.5133.18,27
MSTRG.26180.1,26
MSTRG.5140.8,25
MSTRG.8633.24,25
ENST00000343537.12,25
MSTRG.14226.10,24
MSTRG.17108.17,24
ENST00000390311.3,24
MSTRG.11902.13,23
MSTRG.35846.32,23
MSTRG.24071.9,23
MSTRG.31018.6,22
ENST00000620525.1,22
ENST00000548171.1,22
MSTRG.33231.19,20
ENST00000432750.5,20
ENST00000569205.5,19
MSTRG.14189.5,18
MSTRG.35460.54,18
MSTRG.2401.8,18
ENST00000485947.1,18
MSTRG.6330.9,17
MSTRG.19853.4,16
ENST00000496673.5,16
MSTRG.34985.3,16
ENST00000690166.1,16
ENST00000534139.5,16
MSTRG.1921.17,16
ENST00000358395.11,16
ENST00000355112.8,15
MSTRG.7274.3,15
MSTRG.14512.7,15
ENST00000409015.5,15
MSTRG.32063.17,14
