,SHAP
ENST00000372476.8,50
MSTRG.1913.3,50
MSTRG.21565.11,49
MSTRG.21565.12,49
MSTRG.13450.7,48
MSTRG.1168.1,45
MSTRG.17871.5,45
ENST00000413366.8,44
MSTRG.3806.9,43
ENST00000303115.8,42
ENST00000246080.4,41
ENST00000300184.8,41
ENST00000368680.4,38
ENST00000589005.5,37
ENST00000476438.1,36
ENST00000367718.5,35
ENST00000581584.5,34
ENST00000494573.6,34
MSTRG.17882.17,30
MSTRG.23851.1,29
ENST00000548200.5,29
ENST00000543072.2,29
ENST00000477689.2,28
ENST00000337338.9,27
MSTRG.2400.4,27
MSTRG.3529.27,27
ENST00000360428.9,27
MSTRG.17052.1,26
ENST00000587012.1,25
ENST00000372583.6,25
MSTRG.26895.13,25
MSTRG.14482.3,25
MSTRG.5179.5,25
MSTRG.32784.4,25
MSTRG.28032.1,24
MSTRG.31758.3,24
MSTRG.1873.42,24
ENST00000375200.6,24
MSTRG.1727.13,23
ENST00000507765.1,23
ENST00000651342.1,23
ENST00000554383.5,22
MSTRG.27773.6,22
ENST00000472755.2,22
ENST00000331581.11,22
ENST00000358747.10,22
MSTRG.9085.27,22
MSTRG.575.12,21
MSTRG.4428.2,21
MSTRG.1692.7,21
ENST00000390331.3,20
ENST00000565196.5,20
MSTRG.22004.4,20
ENST00000392249.6,20
ENST00000615215.4,20
MSTRG.26990.1,20
ENST00000441002.1,19
ENST00000624344.1,18
MSTRG.13900.12,18
MSTRG.26509.13,18
MSTRG.21831.34,17
ENST00000645860.1,17
ENST00000521155.5,17
MSTRG.9702.3,17
ENST00000537488.1,17
ENST00000371225.4,17
ENST00000392008.6,16
ENST00000460903.2,16
MSTRG.20714.15,16
MSTRG.27965.7,16
MSTRG.8485.2,15
ENST00000390560.2,15
ENST00000491328.1,15
ENST00000553708.5,15
MSTRG.21300.10,15
MSTRG.19832.2,14
ENST00000166534.8,14
MSTRG.14706.28,14
ENST00000396401.7,14
MSTRG.17323.5,14
ENST00000400246.7,14
MSTRG.2288.7,14
ENST00000464587.2,14
MSTRG.31035.16,14
MSTRG.28062.5,13
ENST00000403952.3,13
MSTRG.25017.4,13
MSTRG.16471.18,13
ENST00000344229.7,13
MSTRG.25537.5,13
ENST00000645586.1,13
ENST00000396158.6,13
MSTRG.14143.25,13
