Feature,SHAP
MSTRG.36782.15,47
MSTRG.36720.1,46
MSTRG.36838.1,44
ENST00000611750.1,42
ENST00000464196.5,38
MSTRG.5802.1,37
ENST00000693214.1,37
ENST00000485584.1,35
MSTRG.6823.12,34
MSTRG.6684.24,34
ENST00000566193.1,30
ENST00000361365.7,30
MSTRG.36713.16,28
MSTRG.36725.12,28
ENST00000390569.1,28
ENST00000616545.4,27
ENST00000571976.1,27
ENST00000283285.10,25
MSTRG.25781.1,25
MSTRG.1847.2,24
ENST00000529180.1,24
ENST00000662422.1,22
ENST00000392806.4,21
ENST00000521488.1,19
MSTRG.36790.2,19
MSTRG.12191.1,19
ENST00000066544.8,18
MSTRG.8571.5,17
MSTRG.5794.10,17
ENST00000473940.5,16
ENST00000495478.1,16
MSTRG.13477.11,16
ENST00000642021.1,14
MSTRG.36836.5,14
ENST00000552050.5,14
MSTRG.7449.16,13
MSTRG.5599.6,13
ENST00000459719.7,13
MSTRG.10723.17,13
MSTRG.8911.8,12
MSTRG.36790.14,12
MSTRG.22863.229,12
MSTRG.22356.1,11
MSTRG.16865.10,11
ENST00000416274.7,11
MSTRG.22863.125,11
MSTRG.36782.3,11
MSTRG.22863.200,10
MSTRG.22863.121,10
MSTRG.36782.10,10
